"DOB" "NKID" "DEP" "PHON" "SINC" "AES" "DAINC" "RES" "DHVAL" "DMORT" "DOUTM" "DOUTL" "DOUTHP" "DOUTCC" "BAD"
"471" 51 0 0 1 2230 "E" 24464 "P" 28928 0 0 0 928 0 0
"472" 59 0 0 1 2000 "E" 24000 "U" 0 0 160 0 0 0 0
"473" 66 0 0 1 0 "P" 28800 "P" 0 0 0 0 0 240 0
"476" 65 0 0 1 0 "P" 21000 "P" 0 0 320 0 0 40 0
"481" 42 0 0 1 10000 "P" 34800 "O" 46464 20000 540 0 0 200 0
"482" 43 0 0 1 0 "P" 15858 "N" 0 0 0 0 0 96 0
"483" 29 0 0 1 13000 "V" 12000 "O" 23392 16000 0 0 0 0 0
"484" 11 0 0 1 0 "R" 15000 "O" 28464 4 0 0 0 0 1
"485" 61 1 0 1 0 "E" 0 "P" 0 0 0 0 0 0 1
"486" 67 0 0 1 0 "P" 7290 "P" 0 0 0 0 0 0 0
"488" 67 0 0 1 0 "P" 19911 "P" 0 0 0 276 0 0 0
"490" 35 0 0 1 0 "P" 28152 "O" 62464 36000 360 224 240 20 0
"491" 64 0 0 1 0 "P" 24192 "O" 34464 0 684 0 204 0 1
"495" 32 0 0 1 0 "Z" 0 "U" 0 0 0 0 400 0 0
"497" 36 0 0 1 0 "W" 0 "O" 17856 4 0 0 0 0 1
"498" 16 0 0 0 0 "R" 0 "N" 0 0 0 0 0 0 1
"499" 40 2 0 1 0 "E" 30000 "O" 0 0 0 0 0 0 0
"502" 63 0 0 1 0 "P" 23700 "P" 0 0 0 320 0 200 0
"504" 24 2 0 1 0 "V" 3884 "O" 37856 4 0 0 0 0 0
"505" 48 1 1 1 2000 "V" 45900 "O" 36928 22464 800 0 0 0 0
"506" 10 0 0 1 0 "R" 20250 "O" 17856 4 0 0 0 0 1
"507" 28 0 0 1 0 "P" 27000 "O" 23392 0 0 0 0 320 0
"508" 46 3 0 1 0 "P" 30464 "O" 36928 34464 852 560 52 0 0
"509" 22 0 0 1 5000 "R" 9000 "O" 8928 0 0 0 0 0 1
"512" 63 0 0 1 0 "P" 24000 "P" 0 0 0 0 0 0 0
"513" 15 0 0 1 0 "R" 15000 "O" 48928 4 0 0 0 0 0
"514" 63 0 0 1 0 "P" 30000 "P" 0 0 0 580 0 0 0
"516" 43 0 0 1 0 "V" 9360 "F" 0 0 408 0 0 0 0
"517" 68 0 0 1 0 "P" 0 "P" 0 0 0 0 0 60 0
"521" 34 1 0 1 2000 "V" 36000 "U" 0 0 96 200 0 0 0
"523" 60 0 0 1 0 "V" 37800 "F" 0 0 520 400 0 40 0
"524" 59 0 0 1 0 "P" 45000 "O" 8928 54464 1176 0 364 0 1
"525" 61 0 0 1 0 "P" 18900 "N" 0 0 0 200 0 0 0
"526" 68 0 0 1 0 "P" 13500 "P" 0 0 0 0 0 92 0
"527" 25 0 0 1 0 "P" 57258 "O" 43392 4 0 0 1464 0 0
"528" 68 0 0 1 0 "P" 8112 "P" 0 0 0 0 0 0 1
"531" 41 0 0 1 2500 "P" 16113 "U" 0 0 640 552 0 0 0
"533" 42 0 0 0 0 "P" 12000 "P" 0 0 0 0 0 0 1
"534" 61 0 0 1 0 "P" 27540 "O" 50464 0 984 0 160 0 0
"535" 39 2 0 1 15000 "W" 0 "O" 43392 4 0 0 0 80 1
"537" 64 0 0 1 0 "V" 30870 "P" 0 0 0 0 0 0 0
"538" 31 0 0 1 0 "V" 40500 "O" 14464 0 0 0 0 0 0
"539" 60 2 0 1 10000 "V" 18264 "O" 14464 0 348 0 340 0 1
"540" 66 0 0 1 0 "P" 13500 "P" 0 0 320 0 0 0 0
"541" 9 0 0 1 0 "R" 0 "O" 0 0 0 0 0 0 0
"542" 67 0 0 1 0 "T" 0 "P" 0 0 0 0 0 0 0
"543" 28 0 0 1 0 "P" 14400 "O" 62464 0 0 0 0 0 0
"544" 11 0 0 1 2910 "R" 20700 "O" 46464 4 0 0 448 0 0
"545" 47 1 0 1 0 "P" 27000 "U" 0 0 576 388 0 0 0
"546" 63 0 0 1 0 "V" 23460 "F" 0 0 800 200 0 0 0
"547" 65 0 0 1 0 "V" 16500 "P" 0 0 0 0 0 0 0
"548" 55 2 0 1 4320 "P" 21600 "O" 46464 46464 744 440 0 0 1
"549" 41 0 0 1 0 "V" 37620 "O" 928 33988 0 420 0 160 0
"550" 62 0 0 0 0 "V" 18033 "O" 54000 38000 296 0 56 80 0
"552" 35 0 0 1 2000 "P" 27000 "U" 0 0 400 0 120 0 0
"553" 62 0 0 1 0 "V" 32769 "O" 25464 22064 640 0 0 0 0
"554" 67 0 0 1 0 "P" 12300 "P" 0 0 0 0 0 0 0
"557" 27 0 0 1 768 "R" 0 "F" 0 0 184 0 0 0 1
"558" 42 1 0 1 0 "E" 25500 "O" 54464 57600 424 0 0 0 1
"559" 30 0 0 1 2800 "E" 14400 "O" 64000 32800 268 0 0 0 1
"561" 38 3 0 1 15000 "P" 5760 "O" 63392 34464 744 0 0 0 0
"562" 63 0 0 1 0 "V" 19500 "F" 0 0 0 0 0 0 0
"565" 32 0 0 1 0 "R" 16200 "P" 0 0 0 0 0 0 0
"566" 67 0 0 1 0 "P" 19347 "P" 0 0 0 0 0 0 0
"567" 68 0 0 1 0 "T" 5400 "P" 0 0 0 0 0 0 1
"568" 61 0 0 1 8200 "P" 36000 "O" 38464 26464 704 0 548 0 0
"570" 40 3 0 1 0 "V" 9014 "O" 9856 14464 0 0 0 0 0
"571" 47 2 0 1 0 "P" 19500 "U" 0 0 0 0 0 0 0
"572" 45 1 0 1 0 "V" 45600 "O" 3392 24928 1388 500 0 0 0
"575" 66 0 0 0 0 "T" 0 "N" 0 0 320 0 0 0 1
"576" 50 2 0 1 2200 "V" 45000 "O" 8928 7264 492 316 0 40 0
"577" 27 0 0 1 0 "R" 0 "O" 23392 4 0 200 0 0 1
"578" 64 0 0 1 0 "P" 22500 "N" 0 0 320 400 0 0 0
"579" 60 0 0 0 0 "V" 20100 "P" 0 0 480 216 0 0 0
"581" 48 2 1 1 0 "P" 14864 "O" 23392 26464 528 0 0 0 0
"582" 30 0 0 1 0 "V" 12000 "U" 0 0 0 0 0 0 0
"583" 46 2 0 1 0 "B" 36464 "O" 63392 34464 960 0 0 1200 0
"584" 60 0 0 0 0 "U" 14400 "P" 0 0 160 0 0 0 0
"585" 62 0 0 1 0 "P" 15000 "P" 0 0 0 0 0 0 0
"586" 68 0 0 1 0 "T" 0 "P" 0 0 0 0 0 0 0
"587" 29 0 0 1 2488 "P" 31500 "O" 28928 16000 320 500 0 80 0
"588" 42 0 0 1 0 "E" 30000 "O" 43392 22464 800 372 0 0 0
"589" 49 4 0 1 0 "W" 15660 "O" 18464 40000 340 0 0 0 0
"590" 46 2 0 1 2800 "P" 61500 "O" 48928 40000 320 0 0 400 0
"591" 54 0 0 1 0 "E" 60000 "U" 0 0 408 0 0 0 0
"592" 65 0 0 0 0 "V" 18000 "U" 0 0 288 0 0 0 0
"595" 60 0 0 1 0 "B" 25500 "F" 0 0 520 0 0 0 1
"597" 67 0 0 1 0 "V" 12537 "P" 0 0 400 0 0 0 0
"598" 35 1 0 1 7367 "P" 18087 "U" 0 0 0 0 0 0 0
"600" 49 4 0 1 1500 "P" 30000 "O" 43392 14464 0 0 0 0 0
"601" 63 0 0 1 0 "P" 21000 "P" 0 0 640 0 0 0 0
"602" 11 0 0 1 0 "R" 0 "O" 12928 4 0 0 0 0 1
"603" 42 0 0 1 0 "V" 19092 "O" 0 0 0 216 0 0 0
"604" 29 0 0 1 11649 "P" 45000 "O" 28928 26000 820 300 0 0 0
"605" 69 0 0 1 0 "T" 0 "P" 0 0 0 0 0 0 1
"606" 54 3 0 1 0 "E" 37856 "O" 28032 4 0 0 0 0 0
"607" 18 0 0 1 2461 "R" 16131 "O" 46464 4 0 0 0 0 0
"608" 57 1 1 1 0 "P" 27000 "U" 0 0 520 0 0 0 0
"609" 49 0 0 1 0 "V" 46500 "O" 54464 10464 640 0 0 0 0
"610" 18 2 0 1 0 "R" 0 "O" 17856 0 0 0 0 0 0
"611" 46 0 0 1 0 "E" 43200 "O" 54464 24000 340 0 0 0 0
"612" 62 1 0 1 0 "E" 9360 "O" 0 0 0 0 0 0 1
"613" 64 0 0 1 0 "P" 0 "P" 0 0 0 0 0 0 0
"614" 27 0 0 1 0 "P" 20700 "O" 46464 11000 192 236 0 0 0
"616" 55 0 0 1 0 "V" 43632 "O" 2928 34464 684 0 328 300 0
"617" 40 0 0 1 30000 "W" 0 "O" 32320 54464 0 0 0 0 0
"618" 37 0 0 1 0 "P" 54464 "O" 6784 4 0 0 0 0 0
"621" 64 0 0 1 0 "B" 19290 "P" 0 0 0 0 32 0 0
"622" 58 2 0 1 0 "W" 0 "U" 0 0 0 0 0 0 1
"623" 30 1 0 1 300 "P" 27000 "O" 13568 20000 200 0 0 240 1
"624" 67 0 0 1 0 "P" 6024 "P" 16000 6000 0 0 0 0 1
"625" 40 1 0 1 5227 "P" 11733 "U" 0 0 280 184 76 0 0
"626" 22 0 0 1 2200 "E" 58500 "O" 56928 36 0 0 0 0 1
"627" 63 0 0 1 0 "P" 14820 "P" 0 0 320 140 0 0 1
"629" 29 0 0 1 0 "V" 15000 "O" 61248 54464 0 0 0 0 0
"631" 56 2 1 1 0 "E" 36000 "O" 28464 2464 588 108 0 0 1
"632" 46 1 0 1 5000 "W" 5850 "U" 0 0 0 0 0 0 0
"633" 64 0 0 1 0 "E" 0 "P" 0 0 0 0 400 0 1
"635" 55 0 0 1 0 "P" 46562 "F" 0 0 0 0 0 0 0
"637" 68 0 0 1 0 "P" 7200 "P" 0 0 80 0 0 0 1
"639" 69 0 0 1 0 "P" 7488 "P" 0 0 0 0 0 0 0
"640" 63 0 0 1 0 "V" 18000 "P" 0 0 0 0 0 0 0
"642" 52 0 0 1 7000 "P" 39000 "O" 57856 4928 1000 560 360 180 0
"643" 59 0 0 0 0 "M" 30000 "O" 60464 0 480 428 0 0 0
"644" 34 0 0 1 9000 "P" 24000 "U" 0 0 468 400 0 0 0
"645" 58 0 0 1 9600 "W" 0 "O" 46464 12464 604 0 0 0 0
"646" 68 0 0 1 0 "V" 15900 "P" 0 0 0 0 0 0 0
"647" 42 0 1 1 12000 "M" 7964 "U" 0 0 800 0 0 0 0
"648" 51 3 0 1 0 "P" 51000 "O" 12320 4928 1108 0 0 0 0
"649" 38 0 0 1 5600 "V" 42000 "O" 20928 4 0 0 0 0 0
"652" 14 0 0 1 0 "R" 0 "U" 0 0 584 0 0 0 1
"655" 18 0 0 0 0 "R" 0 "O" 14464 4 0 0 0 0 1
"656" 62 0 0 1 0 "P" 21000 "P" 0 0 0 0 0 0 0
"657" 8 0 0 1 0 "R" 0 "U" 0 0 0 0 0 0 1
"658" 60 0 0 1 0 "T" 0 "P" 0 0 0 0 0 0 1
"659" 61 2 0 1 0 "P" 16500 "N" 0 0 0 0 0 0 1
"660" 66 0 0 1 0 "T" 6000 "P" 0 0 160 0 0 0 0
"661" 18 0 0 1 2000 "R" 24000 "O" 3392 0 0 0 0 0 0
"662" 62 1 0 1 0 "P" 19500 "F" 0 0 388 0 0 0 0
"663" 64 0 0 0 0 "P" 20100 "F" 0 0 480 0 0 0 1
"664" 40 2 0 1 0 "V" 64800 "O" 17856 48000 368 0 0 0 1
"665" 65 0 0 1 0 "T" 5538 "P" 0 0 400 0 0 0 0
"666" 66 0 0 0 0 "P" 13800 "F" 0 0 272 0 0 32 0
"667" 61 0 0 1 0 "P" 33000 "O" 38464 24064 764 0 0 60 0
"668" 42 1 0 1 7000 "E" 9000 "O" 20928 22464 880 0 0 0 1
"669" 28 0 0 1 0 "R" 0 "N" 0 0 0 0 0 0 0
"670" 56 0 0 1 0 "P" 24900 "U" 0 0 0 0 552 0 0
"671" 55 0 0 1 0 "P" 29700 "F" 0 0 260 0 0 0 0
"672" 22 0 0 1 0 "R" 45000 "O" 3392 9600 1240 0 0 160 0
"673" 41 1 0 1 0 "E" 0 "U" 0 0 368 0 0 0 1
"674" 51 2 0 1 2000 "P" 24000 "O" 8928 40000 368 200 0 0 1
"675" 55 1 0 1 0 "E" 9464 "O" 63392 23392 1400 0 0 0 1
"677" 42 0 0 1 1230 "P" 39000 "O" 54464 40000 0 0 0 0 1
"678" 62 0 0 1 8725 "V" 27969 "O" 26464 21864 688 320 0 260 0
"679" 61 0 0 1 2000 "P" 45000 "O" 62464 46464 840 0 580 0 0
"680" 43 3 0 1 1872 "P" 21000 "U" 0 0 388 0 100 0 1
"681" 58 2 0 1 0 "B" 45000 "O" 17856 52464 800 0 0 0 0
"682" 42 3 0 1 1680 "B" 24000 "O" 3392 46000 292 0 0 0 1
"683" 66 0 0 1 0 "E" 0 "P" 0 0 0 0 0 0 0
"685" 62 0 0 1 0 "P" 15000 "P" 0 0 340 0 0 0 0
"686" 56 0 0 1 0 "E" 18000 "P" 0 0 0 0 0 0 1
"687" 41 2 0 1 0 "P" 27000 "U" 0 0 580 100 56 0 0
"688" 63 0 0 1 0 "E" 15000 "P" 0 0 240 0 0 200 0
"689" 66 0 0 1 0 "P" 17010 "P" 0 0 0 0 0 120 0
"690" 64 0 0 1 0 "P" 24300 "P" 0 0 200 160 0 0 1
"691" 52 0 0 1 11500 "V" 36000 "O" 60464 60464 0 480 776 0 0
"692" 43 2 0 1 0 "P" 57000 "O" 48928 44000 320 620 0 320 0
"693" 10 1 0 1 0 "R" 22500 "O" 6928 4 0 0 0 0 0
"694" 67 0 0 1 0 "P" 13800 "P" 0 0 480 116 0 0 1
"695" 61 0 0 1 0 "P" 19500 "P" 0 0 400 0 0 0 0
"696" 59 0 0 1 0 "P" 9464 "F" 0 0 0 0 0 0 0
"699" 3 0 0 1 0 "R" 0 "O" 28928 4 0 0 0 0 1
"701" 23 0 0 1 0 "P" 60000 "N" 0 0 0 0 0 0 0
"702" 62 2 0 1 0 "E" 20160 "O" 34464 32464 720 0 0 0 1
"703" 67 0 0 1 0 "T" 5400 "P" 0 0 0 0 0 0 1
"704" 58 0 0 1 10300 "P" 54000 "O" 63392 18464 560 560 0 0 0
"705" 27 0 0 1 10192 "W" 0 "O" 8928 4 0 0 0 0 1
"706" 57 1 0 0 4500 "P" 22500 "U" 0 0 320 56 0 0 0
"709" 63 0 0 1 0 "P" 31500 "O" 44464 39464 840 0 0 0 0
"711" 15 0 0 1 0 "R" 39000 "O" 48928 4 0 0 0 0 1
"712" 69 0 0 1 0 "T" 0 "P" 0 0 0 0 0 0 0
"713" 52 2 0 1 0 "P" 50256 "O" 30464 0 540 200 0 0 0
"714" 64 0 0 1 0 "V" 19818 "F" 0 0 280 0 0 0 0
"715" 50 0 0 1 0 "V" 15588 "O" 0 0 0 0 0 0 0
"716" 42 1 0 1 20000 "W" 0 "N" 0 0 0 0 0 0 0
"717" 49 2 0 1 2300 "E" 36000 "O" 8928 48000 348 680 0 0 0
"719" 62 2 0 0 8500 "V" 24000 "U" 0 0 380 0 0 0 0
"720" 63 0 0 1 7000 "E" 36000 "O" 22464 2464 320 0 0 0 0
"722" 12 0 0 1 0 "R" 0 "O" 54464 4 0 0 0 0 1
"724" 48 3 0 1 0 "P" 9464 "F" 0 0 1000 0 0 0 0
"725" 19 0 1 1 0 "R" 0 "O" 0 0 0 0 0 0 0
"726" 59 0 0 1 13000 "P" 25500 "O" 30464 0 680 0 0 400 0
"727" 24 0 0 1 0 "V" 10311 "U" 0 0 448 0 0 0 0
"728" 65 0 0 1 0 "P" 18000 "F" 0 0 0 0 0 800 0
"729" 47 0 0 1 0 "V" 14976 "O" 0 0 0 320 0 0 0
"730" 67 0 0 1 0 "P" 12000 "P" 0 0 160 200 0 0 0
"731" 34 0 0 1 0 "P" 0 "O" 4464 0 180 0 0 0 1
"732" 60 0 0 1 6500 "V" 24000 "O" 0 0 468 240 0 0 1
"733" 40 1 0 1 0 "E" 37440 "O" 54464 34464 760 436 312 0 1
"734" 69 0 0 1 0 "T" 5400 "P" 0 0 0 0 0 0 1
"735" 18 0 0 1 0 "R" 0 "U" 0 0 192 0 0 0 1
"736" 51 2 0 1 2000 "P" 30000 "O" 8928 38464 740 160 120 20 0
"737" 59 0 0 1 0 "P" 18300 "O" 22464 22464 568 0 0 0 1
"738" 62 0 0 1 0 "P" 30000 "P" 0 0 0 0 0 0 0
"739" 36 0 0 1 0 "V" 40392 "O" 12320 0 1760 372 76 280 0
"740" 67 0 0 1 0 "P" 18756 "F" 0 0 440 0 0 0 0
"741" 64 0 0 1 0 "V" 22500 "F" 0 0 480 0 0 0 0
"742" 53 3 0 1 10000 "P" 13500 "O" 54464 26464 640 700 0 0 0
"744" 39 0 0 1 0 "V" 23232 "U" 0 0 412 0 0 0 0
"745" 47 2 0 0 3000 "P" 42000 "O" 14464 26000 244 0 200 0 0
"746" 64 0 0 0 0 "P" 21000 "F" 0 0 424 0 0 0 0
"747" 19 0 0 1 0 "R" 0 "U" 0 0 68 0 0 0 0
"748" 41 5 0 1 0 "N" 60000 "O" 0 0 0 0 0 0 0
"749" 99 2 0 1 11070 "P" 36000 "O" 35392 28928 1576 0 0 1600 0
"750" 30 0 0 1 0 "P" 13800 "O" 17856 0 0 0 0 0 0
"751" 54 2 0 1 0 "W" 0 "U" 0 0 0 0 0 0 1
"753" 59 0 0 1 17000 "V" 21000 "O" 28928 0 0 0 0 0 1
"754" 52 0 0 1 0 "P" 28575 "O" 48464 0 800 0 0 200 0
"755" 59 0 0 1 0 "P" 25350 "P" 0 0 0 0 0 0 0
"757" 39 1 0 1 2000 "P" 54000 "O" 37856 40000 480 0 0 0 0
"758" 18 0 0 0 0 "R" 8742 "U" 0 0 380 0 0 120 0
"760" 43 1 1 1 0 "V" 51000 "O" 23392 4 0 440 120 0 0
"761" 50 2 0 1 0 "E" 36000 "O" 48928 0 0 0 0 0 0
"762" 33 0 0 1 0 "R" 18000 "U" 0 0 248 0 0 0 0
"763" 67 0 0 1 0 "P" 12516 "P" 0 0 0 0 0 0 0
"764" 69 0 0 0 0 "P" 13500 "O" 38464 4 0 0 0 0 1
"765" 62 1 0 1 0 "V" 36600 "U" 28928 0 0 428 80 80 0
"768" 31 0 0 1 2704 "P" 18204 "U" 0 0 424 0 408 0 1
"769" 48 0 0 1 0 "P" 35271 "O" 54464 52000 380 0 0 0 1
"770" 51 0 0 1 0 "M" 45000 "O" 51392 28928 1888 0 0 0 0
"772" 26 2 0 1 10000 "W" 0 "O" 21856 4 0 0 0 0 1
"773" 33 0 0 1 0 "P" 15990 "U" 0 0 0 0 0 0 1
"775" 68 0 0 0 6000 "V" 18000 "F" 0 0 600 0 160 0 1
"776" 69 0 0 1 0 "T" 0 "P" 0 0 0 0 0 0 0
"777" 66 0 0 1 0 "P" 11232 "P" 0 0 0 0 0 0 0
"778" 99 0 0 0 0 "Z" 0 "N" 0 0 0 0 0 0 1
"779" 64 0 0 1 0 "T" 0 "F" 0 0 1000 0 0 0 1
"780" 34 2 0 1 0 "E" 11520 "O" 14464 4 0 0 0 0 1
"784" 34 0 0 1 0 "Z" 0 "N" 0 0 0 0 0 0 1
"785" 60 0 0 0 6000 "N" 18000 "O" 48928 4 0 0 0 0 0
"787" 68 0 0 1 0 "P" 15000 "P" 0 0 0 640 0 0 0
"788" 68 0 0 1 0 "T" 0 "F" 0 0 120 0 0 0 0
"790" 24 0 0 1 0 "R" 60000 "N" 32320 4 0 0 0 0 1
"792" 12 0 0 1 0 "R" 0 "O" 14464 4 0 0 0 0 1
"795" 62 0 0 1 0 "P" 12000 "P" 0 0 0 48 60 0 0
"796" 68 0 0 1 0 "T" 0 "P" 0 0 0 0 0 0 0
"797" 46 0 0 1 7000 "E" 15000 "O" 8928 30464 672 0 0 40 0
"798" 46 3 0 1 1900 "V" 34500 "U" 0 0 0 744 0 120 1
"799" 14 0 0 1 0 "R" 0 "O" 0 0 0 0 0 0 0
"800" 33 0 0 1 5045 "E" 0 "U" 0 0 440 436 0 0 0
"801" 40 3 0 1 7500 "V" 37500 "O" 3392 34464 0 0 0 0 1
"802" 9 0 0 0 0 "R" 0 "O" 43392 4 0 0 0 0 1
"803" 52 2 0 1 2500 "P" 22500 "O" 928 6464 536 160 0 0 0
"808" 64 0 0 1 0 "V" 24327 "P" 0 0 320 0 0 0 0
"809" 66 0 0 1 0 "U" 0 "P" 46784 0 0 224 0 80 1
"811" 69 0 0 1 0 "T" 0 "P" 0 0 0 0 0 0 0
"813" 52 2 0 1 1955 "P" 33000 "O" 8928 22464 580 316 40 48 0
"814" 99 0 0 1 0 "R" 0 "U" 0 0 0 0 0 0 1
"818" 67 0 0 1 0 "T" 0 "N" 0 0 0 0 0 0 0
"819" 39 3 0 1 0 "V" 43500 "O" 28928 8000 400 240 0 0 1
"820" 26 0 0 1 2700 "R" 60150 "O" 48928 4 0 0 0 0 0
"821" 57 0 0 1 0 "P" 52353 "P" 0 0 0 0 0 0 0
"822" 68 0 0 0 0 "P" 13416 "P" 0 0 0 0 0 0 1
"823" 60 0 0 0 0 "P" 42825 "F" 0 0 800 0 0 0 0
"824" 49 1 1 1 0 "W" 0 "U" 0 0 0 0 0 0 0
"826" 46 1 0 1 0 "P" 18928 "O" 44640 50464 800 0 0 1000 0
"829" 39 0 0 1 15900 "V" 16500 "O" 23392 48000 624 880 0 0 1
"830" 29 0 0 1 1700 "E" 30000 "O" 54464 56000 432 0 0 0 0
"834" 51 3 0 0 0 "P" 25641 "N" 0 0 88 0 0 0 1
"835" 22 0 0 1 0 "R" 17100 "O" 0 0 0 0 0 0 1
"836" 41 0 2 1 0 "V" 33000 "O" 0 0 0 0 0 0 1
"837" 61 1 0 1 6500 "V" 37200 "O" 37856 56928 1760 512 0 0 0
"839" 66 0 0 1 0 "P" 13260 "P" 0 0 240 0 0 120 0
"840" 59 3 0 1 0 "P" 24000 "U" 0 0 0 0 0 0 1
"841" 52 0 0 1 0 "V" 42300 "O" 57856 54464 872 512 0 0 0
"842" 52 2 0 1 0 "P" 51690 "O" 34464 43600 296 1480 0 60 0
"843" 39 1 0 1 50000 "W" 24464 "O" 23744 16800 0 0 0 1200 0
"844" 69 0 0 1 0 "T" 0 "P" 0 0 400 0 0 0 1
"845" 69 0 0 1 0 "T" 6570 "P" 0 0 308 0 0 0 0
"846" 60 1 0 1 0 "P" 30900 "O" 50464 31164 760 0 0 0 0
"847" 58 0 0 1 0 "P" 45000 "O" 37856 14464 700 0 0 0 0
"849" 55 0 0 1 0 "V" 18900 "O" 22464 48000 440 324 0 0 0
"851" 52 1 0 1 0 "P" 9464 "O" 43392 28928 1600 0 0 0 0
"852" 58 2 0 1 0 "E" 18000 "P" 0 0 0 0 0 0 1
"853" 30 0 0 1 4670 "P" 27000 "O" 0 0 0 0 368 0 0
"854" 69 0 0 1 0 "T" 0 "P" 0 0 0 0 0 0 0
"855" 55 0 0 1 10800 "V" 14832 "O" 46464 14464 648 156 360 0 0
"856" 57 0 0 1 0 "P" 18928 "O" 15712 23392 1680 0 0 120 0
"857" 46 0 0 1 0 "P" 30000 "O" 23392 60000 720 0 0 0 1
"859" 56 0 0 1 0 "P" 0 "U" 0 0 480 560 0 0 0
"861" 69 0 0 0 0 "T" 0 "F" 0 0 520 0 0 0 1
"863" 57 2 0 1 0 "P" 16848 "P" 0 0 400 0 0 0 0
"865" 67 0 0 0 0 "M" 24000 "N" 0 0 0 332 0 0 0
"867" 64 0 0 1 0 "V" 22500 "P" 0 0 200 0 0 0 0
"868" 67 0 0 1 0 "P" 19500 "P" 0 0 0 0 384 0 0
"869" 53 0 0 1 0 "E" 17400 "F" 0 0 320 0 0 0 0
"871" 68 1 0 1 0 "T" 0 "P" 0 0 164 0 0 0 0
"872" 67 0 0 1 0 "P" 14892 "P" 0 0 0 0 0 0 1
"874" 59 0 0 1 0 "V" 35400 "O" 26464 60000 520 468 0 0 0
"875" 46 4 0 1 5600 "P" 42000 "O" 28928 56000 440 0 0 0 0
"876" 30 2 0 1 0 "R" 9464 "O" 13568 61248 0 5200 0 0 0
"879" 69 0 0 1 0 "T" 0 "P" 0 0 720 0 0 0 1
"881" 58 0 0 1 0 "P" 10500 "O" 42464 6464 672 40 0 0 0
"883" 52 2 0 1 0 "P" 33000 "U" 0 0 476 240 0 0 1
"885" 68 0 0 1 0 "T" 0 "P" 0 0 280 0 0 0 1
"886" 53 0 0 0 0 "P" 45000 "N" 0 0 0 0 0 0 0
"887" 13 0 2 1 5200 "R" 33000 "O" 54464 4 0 0 0 80 1
"888" 50 2 0 1 34000 "V" 54000 "O" 64640 23392 1800 800 0 2800 0
"889" 68 0 0 0 0 "B" 17247 "U" 0 0 332 224 0 0 0
"891" 69 0 0 1 0 "T" 0 "P" 0 0 0 0 0 0 1
"892" 52 1 0 1 0 "P" 0 "N" 0 0 0 0 0 0 1
"893" 41 0 0 1 0 "E" 42000 "O" 16960 3392 0 0 0 0 0
"894" 55 0 0 1 0 "E" 21000 "O" 6464 50800 340 0 0 0 0
"895" 40 0 0 1 10000 "V" 30000 "O" 60928 56000 412 0 0 400 0
"897" 19 0 0 1 0 "R" 0 "U" 0 0 0 0 0 0 1
"899" 58 0 0 1 0 "T" 0 "F" 0 0 1200 0 0 0 1
"901" 59 0 0 1 0 "E" 48000 "O" 46464 14464 760 0 0 0 0
"902" 26 0 0 1 0 "R" 13014 "O" 18464 3000 100 0 0 0 0
"903" 50 2 0 1 2500 "P" 42000 "O" 36928 34464 880 208 0 28 0
"905" 56 1 0 1 0 "B" 52500 "O" 28928 26464 1120 0 0 0 0
"907" 68 0 0 1 0 "T" 0 "P" 0 0 340 0 0 0 0
"910" 51 2 0 1 0 "P" 0 "O" 0 0 0 0 0 0 1
"912" 40 0 0 0 0 "U" 0 "O" 28928 4 0 0 0 0 0
"913" 59 0 0 1 0 "T" 0 "P" 0 0 0 0 0 0 1
"914" 64 0 0 1 0 "T" 0 "P" 0 0 0 0 0 0 0
"915" 10 2 0 1 0 "R" 0 "U" 0 0 0 0 0 0 1
"916" 64 0 0 1 0 "P" 28500 "P" 0 0 400 0 0 0 0
"917" 26 0 0 1 2640 "R" 14400 "O" 0 0 0 0 0 0 1
"918" 63 0 0 1 0 "P" 12366 "P" 20928 16000 160 0 0 0 0
"919" 52 4 0 1 0 "P" 24464 "O" 17856 7392 2076 500 0 0 1
"920" 69 0 0 0 0 "P" 10140 "P" 0 0 160 0 0 0 0
"921" 65 0 0 1 0 "P" 17250 "F" 0 0 400 0 0 0 0
"922" 66 0 0 0 0 "P" 16200 "O" 64000 63000 424 0 88 0 1
"923" 59 0 0 1 0 "E" 30000 "P" 0 0 120 0 0 0 0
"924" 59 0 0 1 16000 "P" 27000 "O" 23392 8928 0 0 0 80 0
"925" 66 0 0 1 0 "V" 18927 "P" 0 0 0 0 0 20 0
"926" 30 0 0 1 2000 "B" 24000 "O" 9264 44000 300 540 0 0 1
"927" 63 2 1 1 0 "M" 0 "U" 0 0 520 0 0 80 1
"928" 65 0 0 1 0 "T" 0 "P" 0 0 0 0 0 0 0
"930" 64 0 0 1 0 "V" 21900 "P" 0 0 0 0 0 120 1
"931" 66 0 0 1 0 "P" 22005 "F" 0 0 360 280 0 0 0
"932" 60 0 0 1 0 "T" 13860 "F" 0 0 600 0 0 0 0
"933" 67 0 0 1 0 "P" 16500 "P" 0 0 0 0 0 0 0
"934" 63 0 0 0 0 "P" 18000 "F" 0 0 280 0 64 0 1
"935" 64 0 0 1 0 "T" 0 "F" 0 0 400 0 0 0 0
"936" 68 0 0 1 0 "T" 9000 "P" 0 0 0 0 0 0 0
"940" 54 2 1 1 0 "P" 31200 "U" 0 0 320 0 0 0 0
"941" 55 0 0 1 0 "B" 27000 "O" 34464 0 0 0 0 0 1
"942" 68 0 0 1 0 "P" 0 "P" 0 0 0 0 0 0 0
